Date,Open,High,Low,Close,Volume
03/01/2019,59973,61153,59777,61153,713500
03/04/2019,61153,61940,61153,61743,1347480
03/05/2019,61743,62726,61448,61940,1576750
03/06/2019,62038,62235,60858,61645,1081870
03/07/2019,61645,62726,61547,62038,1897450
03/08/2019,61350,61940,61055,61743,997370
03/11/2019,61350,61645,60858,61547,1020600
03/12/2019,61940,63709,61645,63709,2194380
03/13/2019,63906,64103,63415,64103,1680350
03/14/2019,64103,65872,63415,65774,2115850
03/15/2019,66069,66069,64889,64889,2616060
03/18/2019,65381,66659,65381,66462,1936700
03/19/2019,66462,66462,65578,65676,1390640
03/20/2019,65578,66069,65086,65578,2441040
03/21/2019,65774,66757,65381,65479,1525770
03/22/2019,65676,65872,65381,65774,1375420
03/25/2019,63906,64889,62923,64398,1635900
03/26/2019,64988,65381,64398,64398,1127550
03/27/2019,64791,64791,63611,64398,538180
03/28/2019,64594,65578,64299,65578,742470
03/29/2019,65872,66364,65676,66167,678050
04/01/2019,66757,66757,66462,66659,684060
04/02/2019,66856,67347,66364,66364,556970
04/03/2019,66364,66462,65381,66069,445650
04/04/2019,66069,66757,65676,66561,948960
04/05/2019,66659,67052,66659,66954,477530
04/08/2019,66954,68527,66757,68527,1121900
04/09/2019,68527,68822,68232,68625,759180
04/10/2019,68330,68330,67642,67741,719030
04/11/2019,67839,67839,66561,67347,405090
04/12/2019,67446,67446,66462,66856,355400
04/16/2019,66856,66856,65283,66266,404640
04/17/2019,66757,67052,65872,66856,516710
04/18/2019,66364,67544,66364,66757,554820
04/19/2019,66757,67347,66757,66856,232550
04/22/2019,65971,66954,65872,66757,313210
04/23/2019,66856,66856,64988,66364,1260620
04/24/2019,66364,68035,66364,67347,684540
04/25/2019,67347,67347,66561,66561,348700
04/26/2019,66659,67151,66364,66757,277260
05/02/2019,66462,66757,65283,65774,628430
05/03/2019,65676,66069,64988,65578,789780
05/06/2019,65086,65676,64791,65184,364560
05/07/2019,65184,65872,63709,64496,1103060
